lang,word_original,word_translation
hn,cloud,बादल
hn,bag,बैग
hn,mouth,मुँह
hn,soil,मिट्टी
hn,mountain,पहाड़
hn,heart,दिल
hn,hand,हाथ
hn,day,दिन
hn,star,तारा
hn,spring,वसंत
hn,moon,चाँद
hn,wood,लकड़ी
hn,village,गाँव
hn,forest,जंगल
hn,fruit,फल
hn,grid,जाल
hn,song,गाना
hn,pond,तालाब
hn,sand,रेत
hn,law,कानून
hn,wave,लहर
hn,ocean,महासागर
hn,cave,गुफा
hn,sea,समुद्र
hn,lake,झील
hn,source,स्रोत
hn,point,बिंदु
hn,version,संस्करण
hn,ball,गेंद
hn,station,स्थानक 
hn,rice,चावल
hn,red,लाल
hn,line,रेखा
hn,net,जाल
hn,flower,फूल
hn,tea,चाय
hn,foot,पैर
hn,gold,सोना
hn,door,दरवाज़ा
hn,snow,बर्फ़
hn,horse,घोड़ा
hn,one,एक
hn,two,दो
hn,three,तीन
hn,four,चार
hn,five,पाँच
hn,six,छह
hn,seven,सात
hn,eight,आठ
hn,nine,नौ
hn,ten,दस
hn,head,सिर
hn,strip,पट्टी
hn,street,सड़क
hn,part,हिस्सा
hn,eye,आँख
hn,field,खेत
hn,site,स्थल
hn,dance,नृत्य
hn,word,शब्द
hn,pair,जोड़ी
hn,seat,सीट
hn,light,प्रकाश
hn,thousand,हज़ार
hn,north,उत्तर
hn,machine,मशीन
hn,time,समय
hn,position,स्थिति
hn,province,प्रांत
hn,exchange,विनिमय
hn,middle,मध्य
hn,color,रंग
hn,kind,प्रकार
hn,judge,न्यायाधीश
hn,school,विद्यालय
hn,structure,संरचना
hn,tie,बाँधना
hn,example,उदाहरण
hn,face,चेहरा
hn,bridge,पुल
hn,delete,मिटाना
hn,group,समूह
hn,talent,प्रतिभा
hn,beauty,सुंदरता
hn,platform,मंच
hn,house,घर
hn,sun,सूरज
hn,meeting,बैठक
hn,history,इतिहास
hn,valley,घाटी
hn,square,चौक
hn,generation,पीढ़ी
hn,south,दक्षिण
hn,virtue,गुण
hn,tribe,जनजाति
hn,city,शहर
hn,speed,गति
hn,ground,ज़मीन
hn,advance,अग्रिम
hn,attempt,प्रयास
hn,defeat,हार
hn,tail,पूंछ
hn,mother,माँ
hn,east,पूर्व
hn,return,वापसी
hn,speech,भाषण
hn,child,बच्चा
hn,tower,टॉवर
hn,household,परिवार
hn,person,व्यक्ति
hn,section,अनुभाग
hn,office,कार्यालय
hn,rock,चट्टान
hn,rise,उदय
hn,left,बाएँ
hn,sound,ध्वनि
hn,power,शक्ति
hn,summer,गर्मी
