lang,word_original,word_translation
tm,cloud,கோள்
tm,bag,பை
tm,mouth,வாய்
tm,soil,மண்
tm,mountain,மலை
tm,heart,இதயம்
tm,hand,கை
tm,day,நாள்
tm,star,நட்சத்திரம்
tm,spring,வசந்தம்
tm,moon,நிலவு
tm,wood,மரம்
tm,village,கிராமம்
tm,forest,காடு
tm,fruit,பழம்
tm,grid,கட்டமைப்பு
tm,song,பாடல்
tm,pond,குளம்
tm,sand,மணல்
tm,law,சட்டம்
tm,wave,அலை
tm,ocean,கடல்
tm,cave,குகை
tm,sea,சமுத்திரம்
tm,lake,ஏரி
tm,source,மூலம்
tm,point,புள்ளி
tm,version,பதிப்பு
tm,ball,பந்து
tm,station,நிலையம்
tm,rice,அரிசி
tm,red,சிவப்பு
tm,line,வரி
tm,net,வலை
tm,flower,மலர்
tm,tea,தேநீர்
tm,foot,கால்
tm,gold,தங்கம்
tm,door,கதவு
tm,snow,பனி
tm,horse,குதிரை
tm,one,ஒன்று
tm,two,இரண்டு
tm,three,மூன்று
tm,four,நான்கு
tm,five,ஐந்து
tm,six,ஆறு
tm,seven,ஏழு
tm,eight,எட்டு
tm,nine,ஒன்பது
tm,ten,பத்து
tm,head,தலை
tm,strip,பட்டியல்
tm,street,தெரு
tm,part,பகுதி
tm,eye,கண்
tm,field,வயல்
tm,site,தளம்
tm,dance,நடனம்
tm,word,வார்த்தை
tm,pair,இணை
tm,seat,இருக்கை
tm,light,ஒளி
tm,thousand,ஆயிரம்
tm,north,வடக்கு
tm,machine,இயந்திரம்
tm,time,நேரம்
tm,position,இடம்
tm,province,மாவட்டம்
tm,exchange,மாற்று
tm,middle,நடுத்தரம்
tm,color,நிறம்
tm,kind,வகை
tm,judge,நீதிபதி
tm,school,பள்ளி
tm,structure,கட்டமைப்பு
tm,tie,கட்ட
tm,example,உதாரணம்
tm,face,முகம்
tm,bridge,பாலம்
tm,delete,நீக்கு
tm,group,குழு
tm,talent,திறன்
tm,beauty,அழகு
tm,platform,நிகழ்வு
tm,house,வீடு
tm,sun,சூரியன்
tm,meeting,சந்திப்பு
tm,history,வரலாறு
tm,valley,பள்ளத்தாக்கு
tm,square,சதுரம்
tm,generation,தலைமுறை
tm,south,தெற்கு
tm,virtue,நற்குணம்
tm,tribe,சாதி
tm,city,நகரம்
tm,speed,வேகம்
tm,ground,நிலம்
tm,advance,முன்னேற்றம்
tm,attempt,முயற்சி
tm,defeat,தோல்வி
tm,tail,வால்
tm,mother,தாய்
tm,east,கிழக்கு
tm,return,திரும்பு
tm,speech,பேச்சு
tm,child,குழந்தை
tm,tower,கோபுரம்
tm,household,வீட்டுமனை
tm,person,நபர்
tm,section,பிரிவு
tm,office,அலுவலகம்
tm,rock,பாறை
tm,rise,எழிவு
tm,left,இடப்பக்கம்
tm,sound,ஒலி
tm,power,சக்தி
tm,summer,கோடை
